Unnamed: 0,TARGET,CODENAME,REAL NAME,GENDER,RELATIONSHIP STATUS,ALIGNMENT,HEIGHT,WEIGHT,EYECOLOR,HAIRCOLOR,IDENTIFIES AS,BIRTHPLACE,CITIZENSHIP,EDUCATION,EXPERIENCE,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,ENERGY,FIGHTING,PROFILE PIC,FAVORITE HANGOUTS,DETAILED FILE,POWERS URL
10,Henry McCoy,Beast,"Dr. Henry Philip ""Hank"" McCoy",Male ,Single,Good ,71,402.0,Blue ,Blue,Heterosexual,"Dunfee, Illinois","American, Krakoan","Six PhDs , undergraduate degree from Xavier's School for Gifted Youngsters","Adventurer; former vice-principal, S.W.O.R.D. agent, biochemist, science and math instructor, mutant activist, college lecturer, researcher, professional wrestler",5,4,3,4,1,4,https://static.wikia.nocookie.net/marveldatabase/images/2/2f/X-Force_Vol_6_6_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20191105195001,"Krakoa, Pacific Ocean; The Pointe, Atlantic Ocean",https://marvel.fandom.com/wiki/Henry_McCoy_(Earth-616),https://marvel.fandom.com/wiki/Henry_McCoy_(Earth-616)#Powers_and_Abilities
11,Susan Storm,Invisible Woman,"Dr. Susan ""Sue"" Storm Richards",Female ,Married,Good ,66,120.0,Blue ,Blond,Heterosexual,"Glenville, Long Island, New York",American,Doctorate in unrevealed field; high school education,"Adventurer, Regent of the Uhari throne at The PeakFormerlysubstitute teacher, actress, spy, student",3,2,3,6,5,3,https://static.wikia.nocookie.net/marveldatabase/images/3/39/Susan_Storm_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044704,"New York City, New York",https://marvel.fandom.com/wiki/Susan_Storm_(Earth-616),https://marvel.fandom.com/wiki/Susan_Storm_(Earth-616)#Powers_and_Abilities
12,Namor McKenzie,King Namor,Namor McKenzie,Male ,Widowed,Neutral ,74,278.0,Green ,Black,Heterosexual,Atlantis,Atlantean,Little or no formal schooling; educated by the royal tutors of the Atlantean court,"King of Atlantis and adventurer; former terrorist, warrior, commando, CEO, murderer",2,6,3,6,2,4,https://static.wikia.nocookie.net/marveldatabase/images/8/85/Avengers_Vol_8_9_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20180724230616,Atlantis,https://marvel.fandom.com/wiki/Namor_McKenzie_(Earth-616),https://marvel.fandom.com/wiki/Namor_McKenzie_(Earth-616)#Powers_and_Abilities
13,Ororo Munroe,Storm,Ororo Munroe,Female ,Single,Good ,71,145.0,Blue ,White,Heterosexual,"Manhattan, New York City, New York","American, Kenyan, Krakoan,   formerly Wakandan",College-level courses at Xavier's School for Gifted Youngsters,"Adventurer, teacher, goddess ; former leader, headmistress, gladiator, Queen of Wakanda, student, thief",2,2,3,2,5,4,https://static.wikia.nocookie.net/marveldatabase/images/5/58/Giant-Size_X-Men_Storm_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200321192044,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Ororo_Munroe_(Earth-616),https://marvel.fandom.com/wiki/Ororo_Munroe_(Earth-616)#Powers_and_Abilities
14,Clinton Barton,Hawkeye,"Clinton Francis ""Clint"" Barton",Male ,Divorced,Good ,75,230.0,Blue ,Blond,Heterosexual,"Waverly, Iowa",American,"High school dropout, various self-directed studies","Adventurer, Vigilante, landlord; former S.H.I.E.L.D. agent, outlaw adventurer, revolutionary, security chief, ranch hand, archery tutor, carnival performer, roustabout, butcher shop worker",3,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/7/7e/Civil_War_II_Vol_1_3_Hawkeye_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20160312004004,"Clint Barton's Apartment Building, Bedford-Stuyvesant, Brooklyn, New York City, New York; West Coast Avengers HQ, Venice, Los Angeles, California",https://marvel.fandom.com/wiki/Clinton_Barton_(Earth-616),https://marvel.fandom.com/wiki/Clinton_Barton_(Earth-616)#Powers_and_Abilities
15,Matthew Murdock,Daredevil,"Matthew Michael ""Matt"" Murdock",Male ,Divorced,Good ,71,185.0,Blue ,Red,Heterosexual,"Hell's Kitchen, New York City, New York",American,"J.D. in law at Columbia University and Harvard Law School, Self-taught in mechanical engineering","Parole officer, Adventurer, Vigilante, LawyerformerlyMayor of New York City, Deputy Mayor of New York City, Assistant District Attorney, Leader of the Hand, Short Order Cook",3,3,2,2,4,5,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Daredevil_Vol_6_21_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200221001243,"Matt Murdock's Apartment, Hell's Kitchen, New York City, New York",https://marvel.fandom.com/wiki/Matthew_Murdock_(Earth-616),https://marvel.fandom.com/wiki/Matthew_Murdock_(Earth-616)#Powers_and_Abilities
16,Stephen Strange,Doctor Strange,Dr. Stephen Vincent Strange,Male ,Separated,Good ,72,180.0,Grey ,Black,Heterosexual,"Philadelphia, Pennsylvania",American,"Medical doctorate from Columbia University, residency at New York-Presbyterian Hospital, and extensive sorcery training through a mixture of self-education and vast arcane lore of a Sorcerer Supreme","Sorcerer Supreme, adventurer, occult consultantFormerlyveterinarian, physician, neurosurgeon",4,2,9,2,6,6,https://static.wikia.nocookie.net/marveldatabase/images/3/35/Doctor_Strange_Annual_Vol_3_1_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20191004204455,"Sanctum Sanctorum, 177A Bleecker Street, Greenwich Village, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Stephen_Strange_(Earth-616),https://marvel.fandom.com/wiki/Stephen_Strange_(Earth-616)#Powers_and_Abilities
17,Mary Jane Watson,Mary Jane Watson,"Mary Jane ""MJ"" Watson",Female ,Single,Good ,68,120.0,Green ,Red,Heterosexual,"Montoursville, Pennsylvania",American,College,"Actress; former executive assistant of Tony Stark, professional fashion model, nightclub owner",2,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/5/5c/Amazing_Spider-Man_Vol_5_1_ComicBookRealm.com_Exclusive_Virgin_Variant.jpg/revision/latest/scale-to-width-down/325?cb=20180808005051,"New York City, New York",https://marvel.fandom.com/wiki/Mary_Jane_Watson_(Earth-616),https://marvel.fandom.com/wiki/Mary_Jane_Watson_(Earth-616)#Powers_and_Abilities
18,John Jonah Jameson,J. Jonah Jameson,"John Jonah Jameson, Jr.",Male ,Widowed,Neutral ,71,181.0,Blue ,Black,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Radio Announcer ; Former Mayor of New York City , Publisher of the Daily Bugle, Publisher and Editor-in-chief of NOW Magazine, publisher of Woman Magazine, CEO of Alchemax, reporter for the Fact Channel News",3,2,2,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/9/96/John_Jonah_Jameson_%28Earth-616%29_from_Marvel_Knights_Spider-Man_Vol_1_4_001.jpg/revision/latest/scale-to-width-down/330?cb=20161214062419,"TNM Main Office, Midtown, Manhattan, New York City, New York;",https://marvel.fandom.com/wiki/John_Jonah_Jameson_(Earth-616),https://marvel.fandom.com/wiki/John_Jonah_Jameson_(Earth-616)#Powers_and_Abilities
19,Robert Drake,Iceman,"Robert Louis ""Bobby"" Drake",Male ,Single,Good ,68,145.0,Brown ,Brown,Heterosexual,"Floral Park, Hempstead, New York","American, Krakoan","College graduate, public accountant certification","Adventurer; former headmaster, teacher, vigilante, accountant, student",2,3,3,4,5,4,https://static.wikia.nocookie.net/marveldatabase/images/e/ea/Marvel%27s_Voices_Pride_Vol_1_1_Dauterman_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20210524165937,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Robert_Drake_(Earth-616),https://marvel.fandom.com/wiki/Robert_Drake_(Earth-616)#Powers_and_Abilities
20,Henry Pym,Giant-Man,"Dr. Henry Jonathan ""Hank"" Pym",Male ,Divorced,Good ,72,185.0,Blue ,Blond,Heterosexual,"East Nowhere, Nebraska",American,Doctorate  in Biochemistry from Cal-Tech,"Adventurer, biochemist, geneticist, scientist, entomologist, roboticist, quantum physicist, Scientist Supreme of Earth; former manager of Avengers Compound",6,7,3,3,6,3,https://static.wikia.nocookie.net/marveldatabase/images/2/25/Avengers_Academy_Vol_1_7_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20191109193842,"Avengers Compound, Los Angeles, California; Crofton University, Washington, D.C.; Lighthouse, Earth Orbit; Infinite Avengers Mansion; captive aboard a Skrull ship; Avengers Mansion, Manhattan, New York City, New York; Pym Laboratories, Cresskill, New Jersey",https://marvel.fandom.com/wiki/Henry_Pym_(Earth-616),https://marvel.fandom.com/wiki/Henry_Pym_(Earth-616)#Powers_and_Abilities
21,Charles Xavier,Professor X,Dr. Charles Francis Xavier,Male ,Single,Good ,72,190.0,Blue ,Bald,Heterosexual,"New York City, New York","American, Krakoan","Ph.D.s in Genetics, Biophysics, Psychology, Anthropology and Psychiatry at Oxford University and Columbia University. Undergraduate studies were conducted at Harvard University, where he graduated with honors at the age of 16.","X-Corp Liaison Adventurer, Mutant leader, mutant rights activist, geneticist; former headmaster, teacher, heir, soldier ",5,2,2,2,5,3,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Powers_of_X_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20190817204842,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Charles_Xavier_(Earth-616),https://marvel.fandom.com/wiki/Charles_Xavier_(Earth-616)#Powers_and_Abilities
22,Warren Worthington III,Angel/Archangel,Warren Kenneth Worthington III,Male ,Single,Good ,72,150.0,Blue ,Blond,Heterosexual,"Centerport, Long Island, New York","American, Krakoan",College Graduate from Xavier's School,"Adventurer; former teacher, multi-Millionaire, chairman and principal stockholder of Worthington Industries, terrorist, agent of Apocalypse, vigilante, dean of the Summers Institute",3,2,3,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/b/b5/Astonishing_X-Men_Vol_4_5_Character_Variant_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20171002225506,"X-Corp/Mobile, Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Warren_Worthington_III_(Earth-616),https://marvel.fandom.com/wiki/Warren_Worthington_III_(Earth-616)#Powers_and_Abilities
23,Piotr Rasputin,Colossus,"Piotr Nikolaievitch ""Peter"" Rasputin",Male ,Single,Good ,78,250.0,Blue ,Black,Heterosexual,"Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia ","Russian, Soviet, Krakoan","College level courses at Xavier's, no degree","Adventurer; former teacher, artist, mutant activist, painter, student, farmer",2,6,2,6,1,4,https://static.wikia.nocookie.net/marveldatabase/images/b/b1/X-Men_Vol_5_12_Unknown_Comic_Books_Exclusive_Ngu_Virgin_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20200917030432,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Piotr_Rasputin_(Earth-616),https://marvel.fandom.com/wiki/Piotr_Rasputin_(Earth-616)#Powers_and_Abilities
24,Wanda Maximoff,Scarlet Witch,Wanda Djanga Maximoff,Female ,Divorced,Good ,67,132.0,Green ,Brown,Heterosexual,Serbia,"American, Serbian",Homeschooled,"Adventurer, formerly witchcraft tutor, housewife, mutant terrorist",3,2,2,2,6,3,https://static.wikia.nocookie.net/marveldatabase/images/4/48/Scarlet_Witch_Vol_2_2_Anka_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20151205225342,"Wanda Maximoff's Tower, Upper East Side, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Wanda_Maximoff_(Earth-616),https://marvel.fandom.com/wiki/Wanda_Maximoff_(Earth-616)#Powers_and_Abilities
25,Nicholas Fury,Nick Fury,"Nicholas Joseph ""Nick"" Fury, Sr.",Male ,Single,Neutral ,73,221.0,Brown ,Brown,Heterosexual,"New York City, New York",American,"High school, possibly unfinished; extensive military and intelligence training","Former Cosmic Being, fugitive, Director of S.H.I.E.L.D., intelligence agent, soldier, boxer",3,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/9/90/Nicholas_Fury_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044756,"Blue Area of the Moon, Moon",https://marvel.fandom.com/wiki/Nicholas_Fury_(Earth-616),https://marvel.fandom.com/wiki/Nicholas_Fury_(Earth-616)#Powers_and_Abilities
26,Janet van Dyne,Wasp,Janet Van Dyne,Female ,Divorced,Good ,64,110.0,Blue ,Auburn,Heterosexual,"Cresskill, New Jersey",American,College graduate,"Adventurer, scientist; former TV show host and fashion designer, screenwriter, independently wealthy socialite",3,7,3,2,4,4,https://static.wikia.nocookie.net/marveldatabase/images/3/3a/Janet_Van_Dyne_%28Earth-616%29_from_Black_Panther_and_the_Agents_of_Wakanda_Vol_1_1.jpg/revision/latest/scale-to-width-down/325?cb=20190919215904,"Pym Laboratories, Cresskill, New Jersey; Van Dyne Design Studio, NEVELL, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Janet_Van_Dyne_(Earth-616),https://marvel.fandom.com/wiki/Janet_Van_Dyne_(Earth-616)#Powers_and_Abilities
27,Jean Grey,Marvel Girl,Jean Elaine Grey-Summers,Female ,Married,Good ,66,130.0,Green ,Red,Heterosexual,"Annandale-on-Hudson, New York","American, Krakoan","College-level education, some courses at the Xavier's School for Gifted Youngsters and Metro College","Adventurer, politician; former cosmic host of White Phoenix of the Crown, acting headmistress, teacher, fashion model, laboratory assistant, student",3,2,10,9,13,4,https://static.wikia.nocookie.net/marveldatabase/images/b/bd/X-Men_Vol_5_1_Artgerm_Virgin_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20190904135528,"Krakoa, Pacific Ocean; Summer House, Blue Area of the Moon",https://marvel.fandom.com/wiki/Jean_Grey_(Earth-616),https://marvel.fandom.com/wiki/Jean_Grey_(Earth-616)#Powers_and_Abilities
28,Natalia Romanova,Black Widow,"Natalia Alianovna ""Natasha"" Romanova",Female ,Divorced,Good ,67,131.0,Green ,Red,Bisexual,"Stalingrad, Russia, USSR","Russian, Soviet","College graduate, intensive espionage training through Taras Romanov, the Red Room Academy, and others.","Adventurer, S.H.I.E.L.D. agent, intelligence operative; former schoolteacher, fashion designer, ballerina, assassin, mercenary",3,3,2,3,3,6,https://static.wikia.nocookie.net/marveldatabase/images/c/cb/Web_of_Black_Widow_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/307?cb=20200101090440,Madripoor,https://marvel.fandom.com/wiki/Natalia_Romanova_(Earth-616),https://marvel.fandom.com/wiki/Natalia_Romanova_(Earth-616)#Powers_and_Abilities
29,Kurt Wagner,Nightcrawler,Kurt Wagner ,Male ,Single,Good ,69,161.0,Yellow ,Blue,Heterosexual,"Castle of Baron Christian Wagner, Bavaria, Germany ","German, American, Krakoan",College Graduate,"Adventurer; former teacher, priest, circus performer",3,2,10,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/b/ba/Kurt_Wagner_%28Earth-616%29_from_Empyre_X-Men_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/315?cb=20200818214355,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Kurt_Wagner_(Earth-616),https://marvel.fandom.com/wiki/Kurt_Wagner_(Earth-616)#Powers_and_Abilities
30,Vision,Vision,"""The Vision"" ",Male ,Widowed,Good ,75,300.0,Gold ,Bald,Heterosexual,"Brooklyn, New York City, New York",American,Capacity for creative intelligence and unlimited self-motivated activity,Adventurer,4,5,3,6,6,3,https://static.wikia.nocookie.net/marveldatabase/images/0/02/All-New%2C_All-Different_Avengers_Vol_1_13_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20181110152047,"616 Hickory Branch Lane, Cherrydale, Arlington, Virginia; Stark Industries Airfield, New Jersey",https://marvel.fandom.com/wiki/Vision_(Earth-616),https://marvel.fandom.com/wiki/Vision_(Earth-616)#Powers_and_Abilities
31,May Reilly,May Parker,"Maybelle ""May"" Parker-Jameson, née Reilly",Female ,Widowed,Good ,65,110.0,Blue ,Grey,Heterosexual,"Newark, New Jersey",American,High school,Retired; volunteer F.E.A.S.T. ; terrorist; waitress,2,1,1,1,1,1,https://static.wikia.nocookie.net/marveldatabase/images/c/cd/Maybelle_Reilly_%28Earth-616%29_from_Howard_the_Duck_Vol_6_1_001.jpg/revision/latest/scale-to-width-down/269?cb=20150820184738,"Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Maybelle_Reilly_(Earth-616),https://marvel.fandom.com/wiki/Maybelle_Reilly_(Earth-616)#Powers_and_Abilities
32,Katherine Pryde,Red Queen,"Katherine Anne ""Kate"" Pryde",Female ,Single,Good ,66,110.0,Hazel ,Brown,Heterosexual,"Deerfield, Illinois","American, Krakoan","PhD in astrophysics, University of Chicago","Adventurer; former teacher, headmistress, dancer, bartender, student, S.H.I.E.L.D. agent, prophet of the Light Riders",4,2,2,3,1,5,https://static.wikia.nocookie.net/marveldatabase/images/8/85/Marauders_Vol_1_12_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200901191649,"Red Keep, Krakoa, Pacific Ocean; Marauder",https://marvel.fandom.com/wiki/Katherine_Pryde_(Earth-616),https://marvel.fandom.com/wiki/Katherine_Pryde_(Earth-616)#Powers_and_Abilities
33,Carol Danvers,Captain Marvel,Carol Susan Jane Danvers Car-Ell ,Female ,Single,Good ,71,124.0,Blue ,Blond,Heterosexual,"Boston, Massachusetts",American,"Extensive military training and espionage techniques, acquired BA while in military","Adventurer, Commander of the Alpha Flight Space Program, leader of Kree Accuser CorpsFormerlyagent of S.H.I.E.L.D., US Air Force Special Operations intelligence agent and captain, pilot, NASA chief of security; Woman Magazine chief editor, author, freelance writer, DHS chief of tactical operations, instructor in ""Training Day"" program, salesgirl 8",3,5,5,6,5,4,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Captain_Marvel_Vol_10_1_Artgerm_Collectibles_Exclusive_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200411145700,"Alpha Flight Low-Orbit Space Station; Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean",https://marvel.fandom.com/wiki/Carol_Danvers_(Earth-616),https://marvel.fandom.com/wiki/Carol_Danvers_(Earth-616)#Powers_and_Abilities
