ALIGNMENT,BIRTHPLACE,CITIZENSHIP,CODENAME,City,DETAILED FILE,DURABILITY,EDUCATION,ENERGY,EXPERIENCE,EYECOLOR,FAVORITE HANGOUTS,FIGHTING,GENDER,HAIRCOLOR,HEIGHT,IDENTIFIES AS,INTELLIGENCE,Latitude,Longitude,POWERS URL,PROFILE PIC,REAL NAME,RELATIONSHIP STATUS,SPEED,STRENGTH,State,TARGET,WEIGHT,Zip Code,_id
Good,"East Nowhere, Nebraska",American,Giant-Man,New York,https://marvel.fandom.com/wiki/Henry_Pym_(Earth-616),3,Doctorate  in Biochemistry from Cal-Tech,6,Adventurer; biochemist; geneticist; scientist; entomologist; roboticist; quantum physicist; Scientist Supreme of Earth;  manager of Avengers Compound,Blue,"Avengers Compound, Los Angeles, California; Crofton University, Washington, D.C.; Lighthouse, Earth Orbit; Infinite Avengers Mansion; captive aboard a Skrull ship; Avengers Mansion, Manhattan, New York City, New York; Pym Laboratories, Cresskill, New Jersey",3,Male,Blond,72,Heterosexual,6,40.7318045,-73.98409529999998,https://marvel.fandom.com/wiki/Henry_Pym_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/2/25/Avengers_Academy_Vol_1_7_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20191109193842,"Dr. Henry Jonathan ""Hank"" Pym",Divorced,3,7,NY,Henry Pym,185,10003,"{'$oid': '60ba7853eb3d706d33244c89'}"
Good,"Cresskill, New Jersey",American,Wasp,Cresskill,https://marvel.fandom.com/wiki/Janet_Van_Dyne_(Earth-616),2,College graduate,4,Adventurer; scientist;  TV show host and fashion designer; screenwriter; independently wealthy socialite,Blue,"Pym Laboratories, Cresskill, New Jersey; Van Dyne Design Studio, NEVELL, Manhattan, New York City, New York",4,Female,Auburn,64,Heterosexual,3,40.9414874,-73.9593041,https://marvel.fandom.com/wiki/Janet_Van_Dyne_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/3/3a/Janet_Van_Dyne_%28Earth-616%29_from_Black_Panther_and_the_Agents_of_Wakanda_Vol_1_1.jpg/revision/latest/scale-to-width-down/325?cb=20190919215904,Janet Van Dyne,Divorced,3,7,NJ,Janet van Dyne,110,7626,"{'$oid': '60ba7853eb3d706d33244c8b'}"
Good,"Newark, New Jersey",American,May Parker,Newark,https://marvel.fandom.com/wiki/Maybelle_Reilly_(Earth-616),1,High school,1,Retired; volunteer F.E.A.S.T. ; terrorist; waitress,Blue,"Manhattan, New York City, New York",1,Female,Grey,65,Heterosexual,2,40.735657,-74.1723667,https://marvel.fandom.com/wiki/Maybelle_Reilly_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/c/cd/Maybelle_Reilly_%28Earth-616%29_from_Howard_the_Duck_Vol_6_1_001.jpg/revision/latest/scale-to-width-down/269?cb=20150820184738,"Maybelle ""May"" Parker-Jameson, née Reilly",Widowed,1,1,NJ,May Reilly,110,7102,"{'$oid': '60ba7853eb3d706d33244c8d'}"
Good,"Boston, Massachusetts",American,Captain Marvel,Boston,https://marvel.fandom.com/wiki/Carol_Danvers_(Earth-616),6,"Extensive military training and espionage techniques, acquired BA while in military",5,"Adventurer; Commander of the Alpha Flight Space Program; leader of Kree Accuser Corps; agent of S.H.I.E.L.D.; US Air Force Special Operations intelligence agent and captain; pilot; NASA chief of security; Woman Magazine chief editor; author; freelance writer; DHS chief of tactical operations; instructor in ""Training Day"" program; salesgirl 8",Blue,"Alpha Flight Low-Orbit Space Station; Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean",4,Female,Blond,71,Heterosexual,3,42.3602534,-71.0582912,https://marvel.fandom.com/wiki/Carol_Danvers_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Captain_Marvel_Vol_10_1_Artgerm_Collectibles_Exclusive_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200411145700,Carol Susan Jane Danvers Car-Ell ,Single,5,5,MA,Carol Danvers,124,2201,"{'$oid': '60ba7853eb3d706d33244c8e'}"
Good,"Los Angeles, California",American,Hulk,Los Angeles,https://marvel.fandom.com/wiki/Jennifer_Walters_(Earth-616),6,Law degree from UCLA,1,Private Attorney; Adventurer; Bounty Hunter; S.H.I.E.L.D. Agent; Magistra of the Living Tribunal; NYC Assistant District Attorney; Mine Slave,Green,"Avengers Mountain;formerly:Ideahive, Inc.;Gem Theater;Baxter Building;Law offices of Goodman, Lieber, Kurtzberg, & Holliway;Atlas Towers;Excelsior Apartment Building;Avengers Mansion;Four Freedoms Plaza",4,Female,Brown,70,Heterosexual,3,34.0536909,-118.242766,https://marvel.fandom.com/wiki/Jennifer_Walters_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/c/c9/Immortal_She-Hulk_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20200924033932,"Jennifer Sue ""Jen"" Walters",Divorced,3,7,CA,Jennifer Walters,150,90012,"{'$oid': '60ba7853eb3d706d33244c8f'}"
Neutral,"Queens, New York City, New York",American,The Punisher,Flushing,https://marvel.fandom.com/wiki/Frank_Castle_(Earth-616),2,"Extensive military training, partial priesthood training.",1,Vigilante; ;  U.S. Marine officer,Blue,Mobile; usually New York,6,Male,Black,75,Heterosexual,3,40.74982429999999,-73.7976337,https://marvel.fandom.com/wiki/Frank_Castle_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/e/e1/Punisher_Vol_12_1_Textless.jpg/revision/latest/scale-to-width-down/312?cb=20180418154329,Frank G. Castle ,Widowed,2,3,NY,Frank Castle,225,11358,"{'$oid': '60ba7853eb3d706d33244c90'}"
Good,"Harlem, Manhattan, New York City, New York",American,Luke Cage,New York,https://marvel.fandom.com/wiki/Luke_Cage_(Earth-616),5,High school dropout; self-educated in many areas,1,Adventurer; bar owner; bodyguard; mercenary; theater owner; private investigator; various odd jobs,Brown,"Gem Theater, Manhattan, New York City, New York",4,Male,Black,78,Heterosexual,3,40.8078786,-73.94541540000002,https://marvel.fandom.com/wiki/Luke_Cage_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/7/71/Marvel%27s_Voices_Legacy_Vol_1_1_ComicTom101_Exclusive_Variant_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20210406073421,Luke Cage ,Married,2,4,NY,Luke Cage,425,10027,"{'$oid': '60ba7853eb3d706d33244c91'}"
Good,"Harlem, New York City, New York",American,Robbie Robertson,New York,https://marvel.fandom.com/wiki/Joseph_Robertson_(Earth-616),2,Columbia School of Journalism graduate,1,Reporter; editor-in-chief for the Daily Bugle ; editor-in-chief and city editor for The DB! ; desk catcher for the Philadelphia Inquirer,Brown,"New Daily Bugle Building, Manhattan, New York City, New York; Jackson Heights, Queens, New York City, New York",2,Male,White,73,Heterosexual,3,40.8078786,-73.94541540000002,https://marvel.fandom.com/wiki/Joseph_Robertson_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/9/94/Joseph_Robertson_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_63_001.jpg/revision/latest/scale-to-width-down/325?cb=20210412234041,"Joseph ""Robbie"" Robertson",Married,2,2,NY,Joseph Robertson,201,10027,"{'$oid': '60ba7853eb3d706d33244c92'}"
Bad,"Hartford, Connecticut",American,Norman Osborn,Hartford,https://marvel.fandom.com/wiki/Norman_Osborn_(Earth-616),4,College graduate of Empire State University ,3,;  consultant for the Ravencroft Institute; arms dealer; professional criminal mastermind; Alchemax Executive; director of H.A.M.M.E.R.; C.S.A. official; prisoner; adventurer; businessman; owner and president of Osborn Industries and Oscorp; government-appointed director of the Thunderbolts; owner of the Daily Bugle; Initiative P.R. teacher; crimelord,Blue,"New York City, New York",3,Male,Auburn,71,Heterosexual,4,41.76555820000001,-72.69061276,https://marvel.fandom.com/wiki/Norman_Osborn_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/f/f8/Norman_Osborn_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_47_001.jpg/revision/latest/scale-to-width-down/312?cb=20200909002049,Norman Virgil Osborn,Widowed,3,4,CT,Norman Osborn,185,6105,"{'$oid': '60ba7853eb3d706d33244c93'}"
Good,"Forest Hills, Queens, New York City, New York",American,Agent Anti-Venom,Forest Hills,https://marvel.fandom.com/wiki/Eugene_Thompson_(Earth-616),8,"High School graduate, some college courses, military training",1," Assistant Coach ; Adventurer; Black Ops Agent; Vigilante; U.S. Army Corporal; Special Advisor to the Mayor's Office of Veteran Affairs; Boxer; football player",Blue,"New York City, New York",3,Male,StrawberryBlond,49,Heterosexual,2,40.7195942,-73.84485529999998,https://marvel.fandom.com/wiki/Eugene_Thompson_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/0/00/Eugene_Thompson_%28Earth-616%29_from_Amazing_Spider-Man_Venom_Inc._Alpha_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20171210032736,"Eugene ""Flash"" Thompson",Divorced,3,6,NY,Eugene Thompson,160,11375,"{'$oid': '60ba7853eb3d706d33244c94'}"
Good,"Paterson, New Jersey",American,Wonder Man,Paterson,https://marvel.fandom.com/wiki/Simon_Williams_(Earth-616),6,Advanced degree in electrical engineering,2,Adventurer; Vigilante;  agent of S.H.I.E.L.D.; industrialist; stuntman; actor,Red,Mobile,4,Male,Grey,74,Heterosexual,4,40.9167654,-74.171811,https://marvel.fandom.com/wiki/Simon_Williams_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/4/4e/Simon_Williams_%28Earth-616%29_from_Avengers_Vol_1_685_001.jpg/revision/latest/scale-to-width-down/325?cb=20200512045741,Simon Williams,Single,4,7,NJ,Simon Williams,380,7505,"{'$oid': '60ba7853eb3d706d33244c95'}"
Good,"Shelbyville, Indiana",American,Winter Soldier,Shelbyville,https://marvel.fandom.com/wiki/James_Buchanan_Barnes_(Earth-616),3,High-school dropout; military training,1,Adventurer;  S.H.I.E.L.D. operative; assassin; Army mascot; student,Brown,"New York City, New York",6,Male,Brown,69,Heterosexual,2,39.5214373,-85.7769238,https://marvel.fandom.com/wiki/James_Buchanan_Barnes_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/d/d8/Winter_Soldier_Vol_2_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180919043401,James Buchanan Barnes,Single,2,4,IN,James Buchanan Barnes,260,46176,"{'$oid': '60ba7853eb3d706d33244c96'}"
Good,"Philadelphia, Pennsylvania",American,Betty Brant,Philadelphia,https://marvel.fandom.com/wiki/Elizabeth_Brant_(Earth-616),2,Homeschooled,1,Investigative reporter;  secretary,Brown,"Manhattan, New York City, New York",3,Female,Brown,67,Heterosexual,2,39.9527237,-75.16352619999998,https://marvel.fandom.com/wiki/Elizabeth_Brant_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/7/74/Elizabeth_Brant_%28Earth-616%29_from_Friendly_Neighborhood_Spider-Man_Vol_1_15_001.jpg/revision/latest/scale-to-width-down/270?cb=20200228030739,"Elizabeth ""Betty"" Brant",Widowed,2,2,PA,Elizabeth Brant,125,19107,"{'$oid': '60ba7853eb3d706d33244c97'}"
Good,"Centerville, California",American,Hellcat,Sanger,https://marvel.fandom.com/wiki/Patricia_Walker_(Earth-616),3,High School graduate,1,Adventurer and small business owner; paralegal; supernatural investigator; government agent; homemaker; model; actress; newspaper columnist,Blue,"Ideahive, Inc., Brooklyn, New York City, New York",5,Female,Red,68,Heterosexual,3,36.733802,-119.4975895,https://marvel.fandom.com/wiki/Patricia_Walker_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/0/0f/Patsy_Walker_Hellcat_Vol_1_5_Textless.jpg/revision/latest/scale-to-width-down/326?cb=20200920002539,"Patricia ""Patsy"" Walker",Divorced,2,4,CA,Patricia Walker,135,93657,"{'$oid': '60ba7853eb3d706d33244c99'}"
Neutral,"Schenectady, New York",American,Spider-Man,Schenectady,https://marvel.fandom.com/wiki/Otto_Octavius_(Earth-616),5,Ph.D. in Nuclear physics from M.I.T.; honorary doctorate in biochemistry; earned PhD in Biochemistry as Peter Parker,1,Personal assistant;  CEO; vigilante; adventurer; scientist; criminal mastermind; atomic researcher consultant,Hazel,"New York City, New York",4,Male,Brown,70,Heterosexual,5,42.8142432,-73.93956870000002,https://marvel.fandom.com/wiki/Otto_Octavius_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/8/85/Amazing_Spider-Man_Vol_3_10_Textless.jpg/revision/latest/scale-to-width-down/324?cb=20140819222952,Dr. Otto Gunther Octavius,Single,5,6,NY,Otto Octavius,167,12305,"{'$oid': '60ba7853eb3d706d33244c9c'}"
Good,"Philadelphia, Pennsylvania",American,War Machine,Philadelphia,https://marvel.fandom.com/wiki/James_Rhodes_(Earth-616),6,High school graduate; learned aviation engineering in US Marines,6,Adventurer; pilot; Direct Command Officer for Sentinel Squad O*N*E; Lieutenant; United States Marines Corp; CEO of Stark Industries; head of Worldwatch,Brown,"Stark Unlimited HQ, Washington Square Park, Greenwich Village, Manhattan, New York City, New York",4,Male,Brown,73,Heterosexual,3,39.9527237,-75.16352619999998,https://marvel.fandom.com/wiki/James_Rhodes_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/2/2b/James_Rhodes_%28Earth-616%29_from_Tony_Stark_Iron_Man_Vol_1_18_001.jpg/revision/latest/scale-to-width-down/323?cb=20200107234716,"James Rupert ""Jim"" Rhodes",Single,5,6,PA,James Rhodes,240,19107,"{'$oid': '60ba7853eb3d706d33244c9d'}"
Good,"Boston, Massachusetts",American,Dum Dum Dugan,Boston,https://marvel.fandom.com/wiki/Timothy_Dugan_(Earth-616),2,Homeschooled,1,S.H.I.E.L.D. agent; soldier;  circus strong man; boxer; bodyguard; mercenary ,Blue,"S.H.I.E.L.D. Helicarrier, formerly Boston, Massachusetts, United Kingdom",4,Male,Red,74,Heterosexual,2,42.3602534,-71.0582912,https://marvel.fandom.com/wiki/Timothy_Dugan_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/b/b3/Timothy_Dugan_%28Earth-616%29_from_S.H.I.E.L.D._Vol_3_9_001.jpg/revision/latest/scale-to-width-down/350?cb=20150830070302,"Timothy Aloysius Cadwallader ""Tim"" Dugan ",Widowed,2,2,MA,Timothy Dugan,260,2201,"{'$oid': '60ba7853eb3d706d33244c9e'}"
Good,"Harlem, New York City, New York",American,Falcon,New York,https://marvel.fandom.com/wiki/Samuel_Wilson_(Earth-616),2,"High school dropout, later extensively self-educated",1,Adventurer; vigilante;  freelance artist; social worker; soldier; urban planner,Brown,"Harlem, New York City, New York",4,Male,Black,74,Heterosexual,2,40.8078786,-73.94541540000002,https://marvel.fandom.com/wiki/Samuel_Wilson_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/8/86/Falcon_Vol_2_7_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20180124013445,"Samuel Thomas ""Sam"" Wilson",Single,3,2,NY,Samuel Wilson,240,10027,"{'$oid': '60ba7853eb3d706d33244c9f'}"
Bad,Somewhere in New York City,American,Mayor Fisk,Parksville,https://marvel.fandom.com/wiki/Wilson_Fisk_(Earth-616),2,Self-educated to college level in political science,1,"Criminal organizer and mastermind; president and owner of legitimate businesses; crime lord;  ruler of a portion of Hell's Kitchen and mayor of New York City; enforcer; bodyguard",Blue,"New York City, New York",5,Male,Bald,79,Heterosexual,3,41.86628,-74.76503149999998,https://marvel.fandom.com/wiki/Wilson_Fisk_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/f/fe/Secret_Empire_Vol_1_9_Villain_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20170523161632,Wilson Grant Fisk ,Widowed,2,3,NY,Wilson Fisk,450,12768,"{'$oid': '60ba7853eb3d706d33244ca0'}"
Neutral,"Newark, New Jersey",American,Red Hulk,Newark,https://marvel.fandom.com/wiki/Red_Hulk_(Thaddeus_Ross),6,College Degree from West Point,2, Lieutenant general in US Air Force; adventurer; assassin; stunt pilot,Blue,Mobile,4,Male,Black,73,Heterosexual,3,40.735657,-74.1723667,https://marvel.fandom.com/wiki/Red_Hulk_(Thaddeus_Ross)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Captain_America_Vol_9_26_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20201217084747,"Thaddeus E. ""Thunderbolt"" Ross",Widowed,3,7,NJ,Red Hulk ,245,7102,"{'$oid': '60ba7853eb3d706d33244ca6'}"
Good,"Chicago, Illinois",American,Moon Knight,Chicago,https://marvel.fandom.com/wiki/Marc_Spector_(Earth-616),3,"High-school graduate, extensive C.I.A. training",1,Adventurer; vigilante; millionaire entrepreneur; dictator; ruler; conqueror;  boxer; spy; soldier; mercenary; government agent; cab driver,Brown,"New York City, New York",4,Male,Brown,74,Heterosexual,2,41.87556160000001,-87.6244212,https://marvel.fandom.com/wiki/Marc_Spector_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/c/cb/Moon_Knight_Vol_1_200_Tan_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180724203837,Marc Spector,Married,2,3,IL,Marc Spector,225,60605,"{'$oid': '60ba7853eb3d706d33244ca7'}"
Good,"Hempstead, New York",American,Nova,Hempstead,https://marvel.fandom.com/wiki/Richard_Rider_(Earth-616),7,"Incomplete college studies , Nova Corps training",6, Prime Commandant of the Nova Corps,Brown,Mobile,4,Male,Brown,73,Heterosexual,8,40.7063185,-73.618684,https://marvel.fandom.com/wiki/Richard_Rider_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/c/c9/Richard_Rider_%28Earth-616%29_from_Guardians_of_the_Galaxy_Vol_5_2_001.png/revision/latest/scale-to-width-down/350?cb=20190503014914,"Richard ""Rich"" Rider",Single,7,7,NY,Richard Rider,190,11550,"{'$oid': '60ba7853eb3d706d33244ca9'}"
