,_id,TARGET,CODENAME,REAL NAME,GENDER,RELATIONSHIP STATUS,ALIGNMENT,HEIGHT,WEIGHT,EYECOLOR,HAIRCOLOR,IDENTIFIES AS,BIRTHPLACE,CITIZENSHIP,EDUCATION,EXPERIENCE,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,ENERGY,FIGHTING,PROFILE PIC,FAVORITE HANGOUTS,DETAILED FILE,POWERS URL,City,State,Zip Code,Latitude,Longitude
10,{'$oid': '60ba7853eb3d706d33244c88'},John Jonah Jameson,J. Jonah Jameson,"John Jonah Jameson, Jr.",Male,Widowed,Neutral,71,181.0,Blue,Black,Heterosexual,"Newark, New Jersey",American,Homeschooled,Radio Announcer ;  Mayor of New York City ; Publisher of the Daily Bugle; Publisher and Editor-in-chief of NOW Magazine; publisher of Woman Magazine; CEO of Alchemax; reporter for the Fact Channel News,3,2,2,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/9/96/John_Jonah_Jameson_%28Earth-616%29_from_Marvel_Knights_Spider-Man_Vol_1_4_001.jpg/revision/latest/scale-to-width-down/330?cb=20161214062419,"TNM Main Office, Midtown, Manhattan, New York City, New York;",https://marvel.fandom.com/wiki/John_Jonah_Jameson_(Earth-616),https://marvel.fandom.com/wiki/John_Jonah_Jameson_(Earth-616)#Powers_and_Abilities,Newark,NJ,07102,40.735657,-74.1723667
11,{'$oid': '60ba7853eb3d706d33244c89'},Henry Pym,Giant-Man,"Dr. Henry Jonathan ""Hank"" Pym",Male,Divorced,Good,72,185.0,Blue,Blond,Heterosexual,"East Nowhere, Nebraska",American,Doctorate  in Biochemistry from Cal-Tech,Adventurer; biochemist; geneticist; scientist; entomologist; roboticist; quantum physicist; Scientist Supreme of Earth;  manager of Avengers Compound,6,7,3,3,6,3,https://static.wikia.nocookie.net/marveldatabase/images/2/25/Avengers_Academy_Vol_1_7_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20191109193842,"Avengers Compound, Los Angeles, California; Crofton University, Washington, D.C.; Lighthouse, Earth Orbit; Infinite Avengers Mansion; captive aboard a Skrull ship; Avengers Mansion, Manhattan, New York City, New York; Pym Laboratories, Cresskill, New Jersey",https://marvel.fandom.com/wiki/Henry_Pym_(Earth-616),https://marvel.fandom.com/wiki/Henry_Pym_(Earth-616)#Powers_and_Abilities,New York,NY,10003,40.7318045,-73.9840953
12,{'$oid': '60ba7853eb3d706d33244c8a'},Nicholas Fury,Nick Fury,"Nicholas Joseph ""Nick"" Fury, Sr.",Male,Single,Neutral,73,221.0,Brown,Brown,Heterosexual,"New York City, New York",American,"High school, possibly unfinished; extensive military and intelligence training", Cosmic Being; fugitive; Director of S.H.I.E.L.D.; intelligence agent; soldier; boxer,3,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/9/90/Nicholas_Fury_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044756,"Blue Area of the Moon, Moon",https://marvel.fandom.com/wiki/Nicholas_Fury_(Earth-616),https://marvel.fandom.com/wiki/Nicholas_Fury_(Earth-616)#Powers_and_Abilities,,,10000,40.7127281,-74.0060152
13,{'$oid': '60ba7853eb3d706d33244c8b'},Janet van Dyne,Wasp,Janet Van Dyne,Female,Divorced,Good,64,110.0,Blue,Auburn,Heterosexual,"Cresskill, New Jersey",American,College graduate,Adventurer; scientist;  TV show host and fashion designer; screenwriter; independently wealthy socialite,3,7,3,2,4,4,https://static.wikia.nocookie.net/marveldatabase/images/3/3a/Janet_Van_Dyne_%28Earth-616%29_from_Black_Panther_and_the_Agents_of_Wakanda_Vol_1_1.jpg/revision/latest/scale-to-width-down/325?cb=20190919215904,"Pym Laboratories, Cresskill, New Jersey; Van Dyne Design Studio, NEVELL, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Janet_Van_Dyne_(Earth-616),https://marvel.fandom.com/wiki/Janet_Van_Dyne_(Earth-616)#Powers_and_Abilities,Cresskill,NJ,07626,40.9414874,-73.9593041
14,{'$oid': '60ba7853eb3d706d33244c8c'},Vision,Vision,"""The Vision"" ",Male,Widowed,Good,75,300.0,Gold,Bald,Heterosexual,"Brooklyn, New York City, New York",American,Capacity for creative intelligence and unlimited self-motivated activity,Adventurer,4,5,3,6,6,3,https://static.wikia.nocookie.net/marveldatabase/images/0/02/All-New%2C_All-Different_Avengers_Vol_1_13_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20181110152047,"616 Hickory Branch Lane, Cherrydale, Arlington, Virginia; Stark Industries Airfield, New Jersey",https://marvel.fandom.com/wiki/Vision_(Earth-616),https://marvel.fandom.com/wiki/Vision_(Earth-616)#Powers_and_Abilities,,,10000,40.7127281,-74.0060152
15,{'$oid': '60ba7853eb3d706d33244c8d'},May Reilly,May Parker,"Maybelle ""May"" Parker-Jameson, née Reilly",Female,Widowed,Good,65,110.0,Blue,Grey,Heterosexual,"Newark, New Jersey",American,High school,Retired; volunteer F.E.A.S.T. ; terrorist; waitress,2,1,1,1,1,1,https://static.wikia.nocookie.net/marveldatabase/images/c/cd/Maybelle_Reilly_%28Earth-616%29_from_Howard_the_Duck_Vol_6_1_001.jpg/revision/latest/scale-to-width-down/269?cb=20150820184738,"Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Maybelle_Reilly_(Earth-616),https://marvel.fandom.com/wiki/Maybelle_Reilly_(Earth-616)#Powers_and_Abilities,Newark,NJ,07102,40.735657,-74.1723667
16,{'$oid': '60ba7853eb3d706d33244c8e'},Carol Danvers,Captain Marvel,Carol Susan Jane Danvers Car-Ell ,Female,Single,Good,71,124.0,Blue,Blond,Heterosexual,"Boston, Massachusetts",American,"Extensive military training and espionage techniques, acquired BA while in military","Adventurer; Commander of the Alpha Flight Space Program; leader of Kree Accuser Corps; agent of S.H.I.E.L.D.; US Air Force Special Operations intelligence agent and captain; pilot; NASA chief of security; Woman Magazine chief editor; author; freelance writer; DHS chief of tactical operations; instructor in ""Training Day"" program; salesgirl 8",3,5,5,6,5,4,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Captain_Marvel_Vol_10_1_Artgerm_Collectibles_Exclusive_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200411145700,"Alpha Flight Low-Orbit Space Station; Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean",https://marvel.fandom.com/wiki/Carol_Danvers_(Earth-616),https://marvel.fandom.com/wiki/Carol_Danvers_(Earth-616)#Powers_and_Abilities,Boston,MA,02201,42.3602534,-71.0582912
17,{'$oid': '60ba7853eb3d706d33244c8f'},Jennifer Walters,Hulk,"Jennifer Sue ""Jen"" Walters",Female,Divorced,Good,70,150.0,Green,Brown,Heterosexual,"Los Angeles, California",American,Law degree from UCLA,Private Attorney; Adventurer; Bounty Hunter; S.H.I.E.L.D. Agent; Magistra of the Living Tribunal; NYC Assistant District Attorney; Mine Slave,3,7,3,6,1,4,https://static.wikia.nocookie.net/marveldatabase/images/c/c9/Immortal_She-Hulk_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20200924033932,"Avengers Mountain;formerly:Ideahive, Inc.;Gem Theater;Baxter Building;Law offices of Goodman, Lieber, Kurtzberg, & Holliway;Atlas Towers;Excelsior Apartment Building;Avengers Mansion;Four Freedoms Plaza",https://marvel.fandom.com/wiki/Jennifer_Walters_(Earth-616),https://marvel.fandom.com/wiki/Jennifer_Walters_(Earth-616)#Powers_and_Abilities,Los Angeles,CA,90012,34.0536909,-118.242766
18,{'$oid': '60ba7853eb3d706d33244c90'},Frank Castle,The Punisher,Frank G. Castle ,Male,Widowed,Neutral,75,225.0,Blue,Black,Heterosexual,"Queens, New York City, New York",American,"Extensive military training, partial priesthood training.",Vigilante; ;  U.S. Marine officer,3,3,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/e/e1/Punisher_Vol_12_1_Textless.jpg/revision/latest/scale-to-width-down/312?cb=20180418154329,Mobile; usually New York,https://marvel.fandom.com/wiki/Frank_Castle_(Earth-616),https://marvel.fandom.com/wiki/Frank_Castle_(Earth-616)#Powers_and_Abilities,Flushing,NY,11358,40.7498243,-73.7976337
19,{'$oid': '60ba7853eb3d706d33244c91'},Luke Cage,Luke Cage,Luke Cage ,Male,Married,Good,78,425.0,Brown,Black,Heterosexual,"Harlem, Manhattan, New York City, New York",American,High school dropout; self-educated in many areas,Adventurer; bar owner; bodyguard; mercenary; theater owner; private investigator; various odd jobs,3,4,2,5,1,4,https://static.wikia.nocookie.net/marveldatabase/images/7/71/Marvel%27s_Voices_Legacy_Vol_1_1_ComicTom101_Exclusive_Variant_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20210406073421,"Gem Theater, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Luke_Cage_(Earth-616),https://marvel.fandom.com/wiki/Luke_Cage_(Earth-616)#Powers_and_Abilities,New York,NY,10027,40.8078786,-73.9454154
20,{'$oid': '60ba7853eb3d706d33244c92'},Joseph Robertson,Robbie Robertson,"Joseph ""Robbie"" Robertson",Male,Married,Good,73,201.0,Brown,White,Heterosexual,"Harlem, New York City, New York",American,Columbia School of Journalism graduate,Reporter; editor-in-chief for the Daily Bugle ; editor-in-chief and city editor for The DB! ; desk catcher for the Philadelphia Inquirer,3,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/9/94/Joseph_Robertson_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_63_001.jpg/revision/latest/scale-to-width-down/325?cb=20210412234041,"New Daily Bugle Building, Manhattan, New York City, New York; Jackson Heights, Queens, New York City, New York",https://marvel.fandom.com/wiki/Joseph_Robertson_(Earth-616),https://marvel.fandom.com/wiki/Joseph_Robertson_(Earth-616)#Powers_and_Abilities,New York,NY,10027,40.8078786,-73.9454154
21,{'$oid': '60ba7853eb3d706d33244c93'},Norman Osborn,Norman Osborn,Norman Virgil Osborn,Male,Widowed,Bad,71,185.0,Blue,Auburn,Heterosexual,"Hartford, Connecticut",American,College graduate of Empire State University ,;  consultant for the Ravencroft Institute; arms dealer; professional criminal mastermind; Alchemax Executive; director of H.A.M.M.E.R.; C.S.A. official; prisoner; adventurer; businessman; owner and president of Osborn Industries and Oscorp; government-appointed director of the Thunderbolts; owner of the Daily Bugle; Initiative P.R. teacher; crimelord,4,4,3,4,3,3,https://static.wikia.nocookie.net/marveldatabase/images/f/f8/Norman_Osborn_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_47_001.jpg/revision/latest/scale-to-width-down/312?cb=20200909002049,"New York City, New York",https://marvel.fandom.com/wiki/Norman_Osborn_(Earth-616),https://marvel.fandom.com/wiki/Norman_Osborn_(Earth-616)#Powers_and_Abilities,Hartford,CT,06105,41.7655582,-72.69061276146614
22,{'$oid': '60ba7853eb3d706d33244c94'},Eugene Thompson,Agent Anti-Venom,"Eugene ""Flash"" Thompson",Male,Divorced,Good,49,160.0,Blue,StrawberryBlond,Heterosexual,"Forest Hills, Queens, New York City, New York",American,"High School graduate, some college courses, military training", Assistant Coach ; Adventurer; Black Ops Agent; Vigilante; U.S. Army Corporal; Special Advisor to the Mayor's Office of Veteran Affairs; Boxer; football player,2,6,3,8,1,3,https://static.wikia.nocookie.net/marveldatabase/images/0/00/Eugene_Thompson_%28Earth-616%29_from_Amazing_Spider-Man_Venom_Inc._Alpha_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20171210032736,"New York City, New York",https://marvel.fandom.com/wiki/Eugene_Thompson_(Earth-616),https://marvel.fandom.com/wiki/Eugene_Thompson_(Earth-616)#Powers_and_Abilities,Forest Hills,NY,11375,40.7195942,-73.8448553
23,{'$oid': '60ba7853eb3d706d33244c95'},Simon Williams,Wonder Man,Simon Williams,Male,Single,Good,74,380.0,Red,Grey,Heterosexual,"Paterson, New Jersey",American,Advanced degree in electrical engineering,Adventurer; Vigilante;  agent of S.H.I.E.L.D.; industrialist; stuntman; actor,4,7,4,6,2,4,https://static.wikia.nocookie.net/marveldatabase/images/4/4e/Simon_Williams_%28Earth-616%29_from_Avengers_Vol_1_685_001.jpg/revision/latest/scale-to-width-down/325?cb=20200512045741,Mobile,https://marvel.fandom.com/wiki/Simon_Williams_(Earth-616),https://marvel.fandom.com/wiki/Simon_Williams_(Earth-616)#Powers_and_Abilities,Paterson,NJ,07505,40.9167654,-74.171811
24,{'$oid': '60ba7853eb3d706d33244c96'},James Buchanan Barnes,Winter Soldier,James Buchanan Barnes,Male,Single,Good,69,260.0,Brown,Brown,Heterosexual,"Shelbyville, Indiana",American,High-school dropout; military training,Adventurer;  S.H.I.E.L.D. operative; assassin; Army mascot; student,2,4,2,3,1,6,https://static.wikia.nocookie.net/marveldatabase/images/d/d8/Winter_Soldier_Vol_2_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180919043401,"New York City, New York",https://marvel.fandom.com/wiki/James_Buchanan_Barnes_(Earth-616),https://marvel.fandom.com/wiki/James_Buchanan_Barnes_(Earth-616)#Powers_and_Abilities,Shelbyville,IN,46176,39.5214373,-85.7769238
25,{'$oid': '60ba7853eb3d706d33244c97'},Elizabeth Brant,Betty Brant,"Elizabeth ""Betty"" Brant",Female,Widowed,Good,67,125.0,Brown,Brown,Heterosexual,"Philadelphia, Pennsylvania",American,Homeschooled,Investigative reporter;  secretary,2,2,2,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/7/74/Elizabeth_Brant_%28Earth-616%29_from_Friendly_Neighborhood_Spider-Man_Vol_1_15_001.jpg/revision/latest/scale-to-width-down/270?cb=20200228030739,"Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Elizabeth_Brant_(Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Brant_(Earth-616)#Powers_and_Abilities,Philadelphia,PA,19107,39.9527237,-75.1635262
26,{'$oid': '60ba7853eb3d706d33244c98'},Richard Jones,Rick Jones,"Richard Milhouse ""Rick"" Jones",Male,Divorced,Good,69,165.0,Brown,Brown,Heterosexual,"Scarsdale, Arizona",American,High school dropout,Musician; adventurer; author; talk show host,2,2,2,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/9/91/Richard_Jones_%28Earth-616%29_from_Immortal_Hulk_Vol_1_33_001.jpg/revision/latest/scale-to-width-down/348?cb=20201021014558,"New York City, New York",https://marvel.fandom.com/wiki/Richard_Jones_(Earth-616),https://marvel.fandom.com/wiki/Richard_Jones_(Earth-616)#Powers_and_Abilities,,,NULL,NULL,NULL
27,{'$oid': '60ba7853eb3d706d33244c99'},Patricia Walker,Hellcat,"Patricia ""Patsy"" Walker",Female,Divorced,Good,68,135.0,Blue,Red,Heterosexual,"Centerville, California",American,High School graduate,Adventurer and small business owner; paralegal; supernatural investigator; government agent; homemaker; model; actress; newspaper columnist,3,4,2,3,1,5,https://static.wikia.nocookie.net/marveldatabase/images/0/0f/Patsy_Walker_Hellcat_Vol_1_5_Textless.jpg/revision/latest/scale-to-width-down/326?cb=20200920002539,"Ideahive, Inc., Brooklyn, New York City, New York",https://marvel.fandom.com/wiki/Patricia_Walker_(Earth-616),https://marvel.fandom.com/wiki/Patricia_Walker_(Earth-616)#Powers_and_Abilities,Sanger,CA,93657,36.733802,-119.4975895
28,{'$oid': '60ba7853eb3d706d33244c9a'},Human Torch ,Human Torch,The Human Torch,Male,Single,Good,75,300.0,Blue,Blond,Heterosexual,"Brooklyn, New York City",American,No formal education; Capacity for creative intelligence and unlimited self-motivated activity,Adventurer; War veteran;  police officer and CEO of Oracle; Inc.,2,3,3,3,5,4,https://static.wikia.nocookie.net/marveldatabase/images/6/63/All-New_Invaders_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140116231705,"formerly S.H.I.E.L.D. Base Designation 4201, Stamford, Connecticut; Manhattan, New York City, New York; London, England, United Kingdom and the European theater ; Korea ; later Avengers Compound, Malibu, California; later, mobile; later Blaketon, Illinois",https://marvel.fandom.com/wiki/Human_Torch_(Android)_(Earth-616),https://marvel.fandom.com/wiki/Human_Torch_(Android)_(Earth-616)#Powers_and_Abilities,,,88015,48.6108441,22.2660066
29,{'$oid': '60ba7853eb3d706d33244c9b'},Franklin Nelson,Foggy Nelson,"Franklin Percy ""Foggy"" Nelson ",Male,Divorced,Good,70,220.0,Blue,Bald,Heterosexual,"New York City, New York",American,Columbia University , Attorney at Law; District Attorney for New York City; Chief of Staff to the Mayor's Office,3,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/e/e2/Franklin_Nelson_%28Earth-616%29_from_Daredevil_Vol_1_605_001.jpg/revision/latest/scale-to-width-down/346?cb=20180712171255,"New York City, New York",https://marvel.fandom.com/wiki/Franklin_Nelson_(Earth-616),https://marvel.fandom.com/wiki/Franklin_Nelson_(Earth-616)#Powers_and_Abilities,,,10000,40.7127281,-74.0060152
30,{'$oid': '60ba7853eb3d706d33244c9c'},Otto Octavius,Spider-Man,Dr. Otto Gunther Octavius,Male,Single,Neutral,70,167.0,Hazel,Brown,Heterosexual,"Schenectady, New York",American,Ph.D. in Nuclear physics from M.I.T.; honorary doctorate in biochemistry; earned PhD in Biochemistry as Peter Parker,Personal assistant;  CEO; vigilante; adventurer; scientist; criminal mastermind; atomic researcher consultant,5,6,5,5,1,4,https://static.wikia.nocookie.net/marveldatabase/images/8/85/Amazing_Spider-Man_Vol_3_10_Textless.jpg/revision/latest/scale-to-width-down/324?cb=20140819222952,"New York City, New York",https://marvel.fandom.com/wiki/Otto_Octavius_(Earth-616),https://marvel.fandom.com/wiki/Otto_Octavius_(Earth-616)#Powers_and_Abilities,Schenectady,NY,12305,42.8142432,-73.9395687
31,{'$oid': '60ba7853eb3d706d33244c9d'},James Rhodes,War Machine,"James Rupert ""Jim"" Rhodes",Male,Single,Good,73,240.0,Brown,Brown,Heterosexual,"Philadelphia, Pennsylvania",American,High school graduate; learned aviation engineering in US Marines,Adventurer; pilot; Direct Command Officer for Sentinel Squad O*N*E; Lieutenant; United States Marines Corp; CEO of Stark Industries; head of Worldwatch,3,6,5,6,6,4,https://static.wikia.nocookie.net/marveldatabase/images/2/2b/James_Rhodes_%28Earth-616%29_from_Tony_Stark_Iron_Man_Vol_1_18_001.jpg/revision/latest/scale-to-width-down/323?cb=20200107234716,"Stark Unlimited HQ, Washington Square Park, Greenwich Village, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/James_Rhodes_(Earth-616),https://marvel.fandom.com/wiki/James_Rhodes_(Earth-616)#Powers_and_Abilities,Philadelphia,PA,19107,39.9527237,-75.1635262
